Year,Team,Player,G,W,L,IP,ERA,FIP,WHIP,K%,BB%,HR/9,BABIP,V_R_ERA,V_R_WHIP,V_R_AVG,V_R_OBP,V_L_ERA,V_L_WHIP,V_L_AVG,V_L_OBP
2025,롯데,데이비슨,22,10,5,123.1,3.65,3.85,1.39,22.5,9.1,0.73,0.329,4.48,1.39,0.258,0.344,2.08,1.41,0.267,0.326
2025,롯데,나균안,28,3,7,137.1,3.87,4.22,1.41,19.3,8.3,0.85,0.317,3.58,1.26,0.242,0.318,4.35,1.62,0.302,0.354
2025,롯데,감보아,19,7,8,108.0,3.58,3.44,1.35,24.6,10.3,0.50,0.311,3.32,1.31,0.226,0.321,4.14,1.40,0.244,0.317
2025,롯데,박세웅,29,11,13,160.2,4.93,3.84,1.48,21.6,7.5,0.84,0.349,4.56,1.30,0.262,0.317,5.47,1.73,0.310,0.376
2025,롯데,김원중,53,4,3,60.2,2.67,3.55,1.50,25.4,12.1,0.59,0.338,2.05,1.57,0.224,0.350,3.34,1.38,0.278,0.336
2025,롯데,홍민기,25,0,2,32.0,3.09,2.17,1.09,30.2,8.5,0.00,0.312,2.16,0.72,0.164,0.217,3.52,1.43,0.241,0.338
2025,롯데,정현수,82,2,0,47.2,3.97,4.33,1.26,23.2,12.8,0.76,0.248,5.23,1.35,0.189,0.311,3.47,1.24,0.202,0.311
2025,롯데,정철원,75,8,3,70.0,4.24,4.19,1.43,17.6,9.0,0.51,0.316,4.57,1.52,0.287,0.363,3.86,1.29,0.240,0.319
2025,롯데,이민석,20,2,5,87.1,5.26,5.66,1.83,14.6,13.4,1.03,0.330,6.00,1.69,0.299,0.376,4.69,1.92,0.286,0.400
2025,롯데,김강현,67,2,2,72.0,4.00,5.40,1.25,11.8,6.9,1.13,0.260,3.68,1.34,0.258,0.340,5.19,1.19,0.262,0.300
2025,롯데,최준용,49,4,4,54.1,5.30,3.46,1.21,26.5,6.8,0.83,0.319,5.59,1.14,0.245,0.311,5.18,1.36,0.247,0.318
2025,롯데,반즈,8,3,4,45.2,5.32,4.21,1.40,18.6,8.3,0.79,0.305,5.74,1.35,0.255,0.325,4.58,1.47,0.267,0.329
2025,롯데,송재영,46,1,0,27.0,4.00,5.49,1.59,23.1,19.8,1.00,0.246,2.70,1.95,0.296,0.406,4.43,1.48,0.164,0.341
2025,롯데,정우준,3,0,0,3.1,5.40,2.63,1.80,18.8,0.0,0.00,0.500,3.86,1.29,0.333,0.400,9.00,3.00,0.500,0.500
2025,롯데,박진,51,3,3,69.1,5.32,4.89,1.41,16.6,7.3,1.30,0.303,7.23,1.39,0.282,0.321,3.16,1.34,0.258,0.318
2025,롯데,한현희,3,0,0,8.2,6.23,5.46,1.73,19.5,4.9,2.08,0.393,13.50,1.88,0.417,0.417,3.00,1.67,0.308,0.379
2025,롯데,정성종,2,0,0,2.1,3.86,9.02,1.29,0.0,0.0,3.86,0.222,4.50,0.50,0.143,0.143,0.00,6.00,0.667,0.667
2025,롯데,윤성빈,31,1,2,27.0,7.67,3.89,1.70,33.8,15.4,1.00,0.390,6.75,1.73,0.231,0.375,8.31,1.77,0.269,0.406
2025,롯데,이영재,3,0,0,2.0,9.00,8.97,2.50,18.2,0.0,4.50,0.571,0.00,1.50,0.400,0.400,27.00,4.50,0.600,0.667
2025,롯데,김태현,1,0,0,2.0,4.50,7.82,2.50,16.7,33.3,0.00,0.167,0.00,1.50,0.000,0.333,13.50,4.50,0.333,0.500
2025,롯데,심재민,4,1,0,3.0,3.00,3.32,2.00,13.3,6.7,0.00,0.417,0.00,1.20,0.286,0.286,9.00,4.00,0.500,0.571
2025,롯데,박진형,7,0,0,5.1,8.44,5.61,2.25,17.2,10.3,1.69,0.400,13.50,2.25,0.308,0.400,3.38,2.25,0.385,0.429
2025,롯데,박준우,11,1,2,12.1,8.03,3.51,2.19,17.2,9.4,0.00,0.457,6.43,1.86,0.355,0.394,10.80,2.80,0.400,0.500
2025,롯데,구승민,11,0,1,9.0,7.00,5.31,1.78,22.2,15.6,1.00,0.308,13.50,1.50,0.278,0.350,2.08,2.31,0.235,0.435
2025,롯데,벨라스케즈,11,1,4,35.0,8.23,6.22,1.86,16.7,10.7,1.80,0.364,8.47,2.00,0.372,0.430,7.79,1.73,0.266,0.390
2025,롯데,박세현,3,0,0,3.2,14.73,6.18,2.45,19.0,4.8,2.46,0.500,7.71,1.71,0.364,0.364,27.00,3.75,0.500,0.600
2025,롯데,김상수,45,0,1,36.2,6.38,5.03,1.80,15.0,10.0,0.98,0.349,8.31,1.94,0.341,0.411,3.68,1.64,0.279,0.357
2025,롯데,박시영,11,1,0,7.1,11.05,5.31,2.45,23.8,21.4,0.00,0.429,3.60,0.80,0.118,0.250,27.00,5.57,0.500,0.667
2025,롯데,김진욱,14,1,3,27.0,10.00,8.24,2.15,17.6,11.8,3.33,0.390,6.75,1.79,0.308,0.418,15.00,2.89,0.458,0.500
2025,KT,고영표,29,11,8,161.0,3.30,3.14,1.24,22.5,4.4,0.56,0.341,3.79,1.18,0.267,0.307,2.70,1.33,0.278,0.332
2025,KT,소형준,26,10,7,147.1,3.30,2.99,1.25,19.9,4.7,0.37,0.331,3.82,1.19,0.278,0.298,3.01,1.30,0.262,0.314
2025,KT,오원석,25,11,8,132.1,3.67,4.04,1.38,20.0,9.2,0.68,0.317,2.82,1.46,0.254,0.342,4.45,1.34,0.278,0.335
